DOWNTOWN,STNAME,YEAR,AAWDT
FALSE,N 45TH ST,2009,22200
FALSE,NE 80TH ST,2009,9500
TRUE,DENNY WAY,2009,30200
FALSE,E ALOHA ST,2009,7600
FALSE,51ST AVE S,2009,6300
FALSE,24TH AVE NW,2009,10300
FALSE,10TH AVE E,2009,13100
FALSE,NE NORTHGATE WAY,2009,29500
TRUE,JAMES ST,2009,33400
FALSE,NW 80TH ST,2009,8500
FALSE,AURORA AVE N,2009,36700
FALSE,4TH AVE S,2009,23800
FALSE,AIRPORT WAY S,2009,16700
FALSE,15TH AVE W,2009,38500
FALSE,S LUCILE ST,2009,6800
TRUE,DENNY WAY,2009,24000
FALSE,E YESLER WAY,2009,8000
TRUE,BOREN AVE,2009,21300
FALSE,DELRIDGE WAY SW,2009,13400
FALSE,FAUNTLEROY WAY SW,2009,16500
FALSE,QUEEN ANNE AVE N,2009,12200
FALSE,14TH AVE,2009,8100
FALSE,NE 75TH ST,2009,16700
TRUE,7TH AVE,2009,7300
FALSE,NE 45TH ST,2009,36900
FALSE,N 46TH ST,2009,24500
FALSE,N 65TH ST,2009,7900
FALSE,SW MORGAN ST,2009,7400
FALSE,E CHERRY ST,2009,8000
FALSE,S GENESEE ST,2009,9800
FALSE,N 85TH ST,2009,23700
FALSE,MAGNOLIA BR,2009,17000
FALSE,AIRPORT WAY S,2009,11400
TRUE,MADISON ST,2009,23100
FALSE,NE 50TH ST,2009,26200
FALSE,GREENWOOD AVE N,2009,11900
TRUE,E PINE ST,2009,11900
FALSE,GREENWOOD AVE N,2009,22100
FALSE,ROOSEVELT WAY NE,2009,18500
FALSE,1ST AVE NE,2009,5300
FALSE,FAUNTLEROY FERRY DOCK,2009,5700
FALSE,N 145TH ST,2009,24100
TRUE,E PIKE ST,2009,12200
FALSE,35TH AVE NE,2009,15100
TRUE,7TH AVE,2009,4800
FALSE,FAUNTLEROY WAY SW,2009,11000
FALSE,1ST AVE S,2009,14100
FALSE,NE 55TH ST,2009,6000
TRUE,1ST AVE S,2009,10200
FALSE,NE 45TH ST,2009,25500
FALSE,RAINIER AVE S,2009,30100
FALSE,1ST AVE S,2009,11700
FALSE,EAST GREEN LAKE WAY N,2009,17100
TRUE,2ND AVE,2009,12100
FALSE,32ND AVE NW,2009,4200
FALSE,12TH AVE,2009,12300
FALSE,NE 65TH ST,2009,11700
FALSE,GREENWOOD AVE N,2009,12200
FALSE,5TH AVE NE,2009,5900
FALSE,ELLIOTT AVE W,2009,44000
FALSE,1ST AVE S,2009,25400
FALSE,SEAVIEW AVE NW,2009,2800
FALSE,LAKE CITY WAY NE,2009,35400
TRUE,3RD AVE,2009,6900
FALSE,N 105TH ST,2009,23000
FALSE,12TH AVE NE,2009,8900
FALSE,DELRIDGE WAY SW,2009,17000
FALSE,15TH AVE NE,2009,15200
FALSE,15TH AVE NW,2009,31000
FALSE,WESTLAKE AVE N,2009,24600
FALSE,N 40TH ST,2009,11500
TRUE,1ST AVE,2009,21600
FALSE,W EMERSON PL,2009,20100
FALSE,LAKE WASHINGTON BLVD E,2009,17300
FALSE,PHINNEY AVE N,2009,11700
FALSE,BROADWAY,2009,17100
FALSE,BEACON AVE S,2009,11400
FALSE,BALLARD BR,2009,57200
FALSE,EAST MARGINAL WAY S,2009,12400
FALSE,S DEARBORN ST,2009,20700
FALSE,NE 65TH ST,2009,15200
FALSE,6TH AVE S,2009,14900
FALSE,ALKI AVE SW,2009,9700
TRUE,5TH AVE,2009,10800
FALSE,,2009,5200
FALSE,1ST AV S BR NB,2009,89400
FALSE,W EMERSON PL,2009,20100
FALSE,NW 85TH ST,2009,14500
FALSE,8TH AVE SW,2009,6300
FALSE,RAINIER AVE S,2009,35000
FALSE,4TH AVE S,2009,22000
TRUE,ALASKAN WAY,2009,10800
FALSE,PINEHURST WAY NE,2009,8600
FALSE,35TH AVE SW,2009,20600
FALSE,LEARY WAY NW,2009,28500
TRUE,4TH AVE,2009,17400
FALSE,NE 45TH ST,2009,40300
FALSE,NE NORTHGATE WAY,2009,17800
FALSE,SW ADMIRAL WAY,2009,25400
FALSE,3RD AVE NW,2009,8200
FALSE,ROOSEVELT WAY NE,2009,11700
FALSE,28TH AVE W,2009,3700
TRUE,DENNY WAY,2009,23200
FALSE,EAST MARGINAL WAY S,2009,14400
FALSE,WESTERN AV OFF RP,2009,16800
FALSE,AURORA AVE N,2009,83700
FALSE,RAINIER AVE S,2009,21300
FALSE,N 130TH ST,2009,12600
FALSE,15TH AVE NE,2009,10500
FALSE,OLSON PL SW,2009,28400
FALSE,31ST AVE S,2009,4600
FALSE,WEST MARGINAL WAY SW,2009,15300
FALSE,AURORA AVE N,2009,35500
FALSE,RENTON AVE S,2009,11300
FALSE,14TH AVE S,2009,14100
FALSE,N 85TH ST,2009,25100
FALSE,DELRIDGE WAY SW,2009,21100
FALSE,8TH AVE NW,2009,12500
TRUE,3RD AVE,2009,7900
FALSE,FREMONT AVE N,2009,9600
FALSE,STONE WAY N,2009,14400
TRUE,5TH AVE,2009,12700
FALSE,20TH AVE W,2009,6700
FALSE,ALASKAN WY VI SB OFF RP,2009,13400
FALSE,SW BARTON ST,2009,9200
FALSE,SAND POINT WAY NE,2009,13800
FALSE,E UNION ST,2009,8900
FALSE,N 130TH ST,2009,19600
FALSE,E JOHN ST,2009,12200
FALSE,RENTON AVE S,2009,7500
TRUE,COLUMBIA ST ON RP,2009,9800
TRUE,DENNY WAY,2009,23800
FALSE,5TH AVE NE,2009,17100
FALSE,N 145TH ST,2009,12600
FALSE,SW AVALON WAY,2009,13800
TRUE,DENNY WAY,2009,30500
FALSE,N 125TH ST,2009,9100
FALSE,W DRAVUS ST,2009,20500
TRUE,8TH AVE,2009,3400
FALSE,12TH AVE E,2009,7500
FALSE,11TH AVE NE,2009,9300
FALSE,NE 75TH ST,2009,19400
FALSE,MONTLAKE BR,2009,58900
FALSE,4TH AVE S,2009,25800
FALSE,1ST AV S BR NB,2009,89400
FALSE,S JACKSON ST,2009,9700
TRUE,6TH AVE,2009,7400
FALSE,SAND POINT WAY NE,2009,13800
FALSE,EAST GREEN LAKE DR N,2009,13600
FALSE,NE 75TH ST,2009,21600
FALSE,MERIDIAN AVE N,2009,4000
FALSE,HOLMAN RD NW,2009,28700
FALSE,BEACH DR SW,2009,4600
FALSE,15TH AVE NE,2009,8600
FALSE,E MADISON ST,2009,13700
FALSE,RAINIER AVE S,2009,18600
FALSE,E MADISON ST,2009,22400
FALSE,15TH AVE S,2009,25300
FALSE,5TH AVE NE,2009,12700
FALSE,MYERS WAY S,2009,5800
FALSE,NE 50TH ST,2009,22900
FALSE,16TH AVE S,2009,18300
FALSE,UNIVERSITY BR,2009,28600
TRUE,WESTERN AVE,2009,6800
FALSE,M L KING JR WAY,2009,13500
FALSE,MERCER ST,2009,36300
FALSE,SW ROXBURY ST,2009,15700
FALSE,NE 125TH ST,2009,16000
FALSE,MONTLAKE BLVD NE,2009,47800
FALSE,S OTHELLO ST,2009,8600
FALSE,S MICHIGAN ST,2009,37000
FALSE,GILMAN AVE W,2009,12200
FALSE,RAINIER AVE S,2009,21500
FALSE,NE PACIFIC ST,2009,11400
FALSE,S LUCILE ST,2009,7300
FALSE,N NORTHGATE WAY,2009,27300
FALSE,30TH AVE NE,2009,5900
FALSE,NW MARKET ST,2009,24200
FALSE,BEACON AVE S,2009,12900
FALSE,S MYRTLE ST,2009,12200
FALSE,S COLUMBIAN WAY,2009,15700
FALSE,ELLIOTT AV ON RP,2009,16300
FALSE,N 50TH ST,2009,11600
FALSE,15TH AVE NE,2009,7200
FALSE,8TH AVE S,2009,2200
FALSE,25TH AVE NE,2009,11700
FALSE,4TH AVE S,2009,18600
TRUE,2ND AVE,2009,14800
FALSE,35TH AVE NE,2009,15300
FALSE,RENTON AVE S,2009,8300
FALSE,ROOSEVELT WAY NE,2009,11300
TRUE,SENECA ST OFF RP,2009,10600
FALSE,VALLEY ST,2009,40400
FALSE,NE 125TH ST,2009,10700
FALSE,CORSON AVE S,2009,8700
TRUE,4TH AVE,2009,13600
FALSE,N 80TH ST,2009,14900
FALSE,CALIFORNIA AVE SW,2009,14400
FALSE,E MADISON ST,2009,14900
FALSE,S COLUMBIAN WAY,2009,36600
FALSE,S HOLGATE BR,2009,7400
FALSE,ALASKAN WY VI NB ON RP,2009,10200
FALSE,34TH AVE W,2009,5000
FALSE,GREENWOOD AVE N,2009,22800
FALSE,AURORA AVE N,2009,83700
FALSE,S LANDER ST,2009,13800
TRUE,6TH AVE,2009,12900
FALSE,RAINIER AVE S,2009,27400
FALSE,NE 65TH ST,2009,16100
FALSE,15TH AVE NE,2009,12800
FALSE,3RD AVE NW,2009,8300
FALSE,AURORA BR,2009,81700
FALSE,NE 145TH ST,2009,30300
FALSE,25TH AVE NE,2009,18600
FALSE,SWIFT AVE S,2009,8000
FALSE,EASTLAKE AVE E,2009,15100
